index,product_SMILES,route_name,routescore,visited_nodes
0,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)c4ccccc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,1,21736065.777012307,"[7577, 1151, 45, 3866, 5041, 1148, 26, 3861, 3862, 3943, 8, 22, 3861, 3862]"
1,Fc1cc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)s3)c2-n2c3ccccc3c3ccccc32)ccn1,1,21670313.876712076,"[7578, 1152, 45, 3866, 5042, 1148, 27, 3861, 3862, 3943, 8, 22, 3861, 3862]"
2,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c2nc1C,1,22351798.883435678,"[7579, 1153, 45, 3866, 5043, 1148, 28, 3861, 3862, 3943, 8, 22, 3861, 3862]"
3,Fc1cc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)ccn1,1,22025561.309070464,"[7580, 1154, 45, 3866, 5044, 1148, 29, 3861, 3862, 3943, 8, 22, 3861, 3862]"
4,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c2c1,1,22476706.292826995,"[7581, 1155, 45, 3866, 5045, 1148, 30, 3861, 3862, 3943, 8, 22, 3861, 3862]"
5,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)cc3F)c2-n2c3ccccc3c3ccccc32)ccn1,1,21636238.139266163,"[7582, 1156, 45, 3866, 5046, 1148, 31, 3861, 3862, 3943, 8, 22, 3861, 3862]"
6,Fc1cc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)cc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,1,56551735.86676431,"[7583, 1157, 45, 3866, 5047, 1148, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3943, 8, 22, 3861, 3862]"
7,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)o3)c2-n2c3ccccc3c3ccccc32)ccn1,1,21318199.128388353,"[7584, 1158, 45, 3866, 5048, 1148, 33, 3861, 3862, 3943, 8, 22, 3861, 3862]"
8,Fc1cc(-c2cccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)ccc3-4)c2-n2c3ccccc3c3ccccc32)ccn1,1,23038594.174907517,"[7585, 1159, 45, 3866, 5049, 1148, 34, 3861, 3862, 3943, 8, 22, 3861, 3862]"
9,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)c(Cl)cc3Cl)c2-n2c3ccccc3c3ccccc32)ccn1,1,21872782.2126585,"[7586, 1160, 45, 3866, 5050, 1148, 35, 3861, 3862, 3943, 8, 22, 3861, 3862]"
10,Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)ccc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,1,21750700.44490312,"[7587, 1161, 45, 3866, 5051, 1148, 36, 3861, 3862, 3943, 8, 22, 3861, 3862]"
11,Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)c34)c2-n2c3ccccc3c3ccccc32)ccn1,1,21734161.722160198,"[7588, 1162, 45, 3866, 5052, 1148, 37, 3861, 3862, 3943, 8, 22, 3861, 3862]"
12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)cc21,1,23552610.81437961,"[7589, 1163, 45, 3866, 5053, 1148, 38, 3861, 3862, 3943, 8, 22, 3861, 3862]"
13,Fc1cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)c4nsnc34)c2-n2c3ccccc3c3ccccc32)ccn1,1,22039002.550222617,"[7590, 1164, 45, 3866, 5054, 1148, 39, 3861, 3862, 3943, 8, 22, 3861, 3862]"
14,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(F)c3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3ccnc(F)c3)c2-n2c3ccccc3c3ccccc32)cc1,1,27996674.289549064,"[7591, 1165, 45, 3866, 5055, 1148, 40, 3861, 3862, 7753, 3881, 3882, 3883, 3943, 8, 22, 3861, 3862]"
15,Fc1cc(-c2cccc(-c3ccc4nc5ccc(-c6cccc(-c7ccnc(F)c7)c6-n6c7ccccc7c7ccccc76)cc5nc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,1,22099979.723391563,"[7592, 1166, 45, 3866, 5056, 1148, 41, 3861, 3862, 3943, 8, 22, 3861, 3862]"
