reaction_type, IBM_RXN_ReactionSMILES_ERROR
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2sccc2-c2ccc3ncccc3c2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1sccc1-c1ccc3ncccc3c1
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2ccc(-c3ccc4ncccc4c3)s2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1ccc(-c3ccc4ncccc4c3)s1
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2cc3cc(-c4ccc5ncccc5c4)ccc3o2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1cc3cc(-c4ccc5ncccc5c4)ccc3o1
pentamerSuzuki,Brc1ccc(Br)o1.CN1CC(=O)OB(c2c(F)cccc2-c2cc(F)cc(F)c2)OC(=O)C1>>O=C1CNCC(=O)O1c1ccc(-c2c(F)cccc2-c2cc(F)cc(F)c2)o1
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2sccc2-c2ccc3[nH]ccc3c2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1sccc1-c1ccc3[nH]ccc3c1
pentamerSuzuki,CN1CC(=O)OB(c2cccc(-c3cc(Cl)ccc3Cl)c2F)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2cccc(-c3cc(Cl)ccc3Cl)c2F)c2ccccc21
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2sccc2-c2nccs2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1sccc1-c1nccs1
pentamerSuzuki,CN1CC(=O)OB(c2sccc2-c2nccs2)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2sccc2-c2nccs21
pentamerSuzuki,CN1CC(=O)OB(c2c(F)cccc2-c2nccs2)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2c(F)cccc2-c2nccs2
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2cccnc2-c2nccs2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1cccnc1-c1nccs1
pentamerSuzuki,CN1CC(=O)OB(c2cccnc2-c2nccs2)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2cccnc2-c2nccs21
pentamerSuzuki,Brc1ccccc1Oc1ccccc1Br.CN1CC(=O)OB(c2cc3cc(-c4nccs4)ccc3o2)OC(=O)C1>>c1ccc2c(c1)Oc1ccccc1-c1cc3cc(-c4nccs4)ccc3o1
pentamerSuzuki,CN1CC(=O)OB(c2ccccc2-c2ccc(F)c3ccccc23)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2ccccc2-c2ccc(F)c3ccccc21
pentamerSuzuki,CN1CC(=O)OB(c2sccc2-c2ccc(F)c3ccccc23)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2sccc2-c2ccc(F)c3ccccc21
pentamerSuzuki,CN1CC(=O)OB(c2cccnc2-c2ccc(F)c3ccccc23)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2cccnc2-c2ccc(F)c3ccccc21
pentamerSuzuki,CN1CC(=O)OB(c2ccc(-c3cncc(S(C)(=O)=O)c3)s2)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2ccc(-c3cncc(S(C)(=O)=O)c3)s2)c2ccccc21
pentamerSuzuki,CN1CC(=O)OB(c2cccc(-c3cncc(S(C)(=O)=O)c3)c2F)OC(=O)C1.C[Si](C)(c1ccccc1Br)c1ccccc1Br>>C[Si]1(C)c2ccccc2-c2cccc(-c3cncc(S(C)(=O)=O)c3)c2F)c2ccccc21
BHA,Brc1cnccn1.c1cc(-c2ccc3[nH]ccc3c2)cc(-c2ccc3nc4ccc(-c5cccc(-c6ccc7[nH]ccc7c6)c5)cc4nc3c2)c1>>c1cc(-c2ccc3c(c2)nc2ccc(-c4cccc(-c5ccc6c(ccn6-c6cnccn6)c5)c4)cc2n3-c2cnccn2)cc(-c2ccc3c(ccn3-c3cnccn3)c2)c1
SNAr,Fc1cccc(-c2ccc3ncccc3c2)c1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3c(F)cccc3-c3ccc4ncccc4c3)ccc1-2.c1ccc2c(c1)[nH]c1ccccc12>>c1cnc2ccc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5c(-n6c7ccccc7c7ccccc76)cccc5-4)ccc3-4)cc2c1
SNAr,Fc1cc(F)cc(-c2ccccc2-c2c(F)c(F)c(-c3ccccc3-c3cc(F)cc(F)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2ccccc2-c2c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-c3ccccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)cc(-n2c3ccccc3c3ccccc32)c1
SNAr,Fc1cc(F)cc(-c2ccsc2-c2c(F)c(F)c(-c3sccc3-c3cc(F)cc(F)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2ccsc2-c2c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)cc(-n2c3ccccc3c3ccccc32)c1
SNAr,Fc1cc(F)cc(-c2cccc(F)c2-c2cc(-c3c(F)cccc3-c3cc(F)cc(F)c3)c3ccccc3c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(-c2cc(-c3c(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3ccccc3c2)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1
SNAr,Cc1nc2c(-c3c(F)cccc3-c3cc(F)cc(F)c3)c3nsnc3c(-c3c(F)cccc3-c3cc(F)cc(F)c3)c2nc1C.c1ccc2c(c1)[nH]c1ccccc12>>Cc1nc2c(-c3c(-n4c5ccccc5c5ccccc54)cccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc3c(-c3c(-n4c5ccccc5c5ccccc54)cccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n3c4ccccc4c4ccccc43)c2nc1C
SNAr,Fc1cc(F)cc(-c2ccc(-c3cc(Cl)c(-c4ccc(-c5cc(F)cc(F)c5)s4)s3)s2)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)s4)s3)s2)cc(-n2c3ccccc3c3ccccc32)c1
SNAr,Fc1cc(F)cc(-c2ncccc2-c2c(F)c(F)c(-c3cccnc3-c3cc(F)cc(F)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2ncccc2-c2c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)cc(-n2c3ccccc3c3ccccc32)c1
SNAr,Fc1cc(F)cc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5cc(F)cc(F)c5)cc4)c4nsnc34)cc2)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2ccc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc4)c4nsnc34)cc2)cc(-n2c3ccccc3c3ccccc32)c1
