,not_matched
0,Fc1cc(F)cc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5cc(F)cc(F)c5)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)c1
1,Cn1ncc(-c2ccco2)c1-c1ccc2nc3ccc(-c4c(-c5ccco5)cnn4C)cc3nc2c1
2,Clc1cc(Cl)c(-c2cccnc2-c2nccs2)cc1-c1cccnc1-c1nccs1
3,CS(=O)(=O)c1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4cncc(S(C)(=O)=O)c4)cccc3-n3c4ccccc4c4ccccc43)nc2)c1
4,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc4[nH]ccc4c3)cc2)c(-n2c3ccccc3c3ccccc32)cc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1
5,c1cc(-c2ccc3ncccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-c3cccc(-c4ccc5ncccc5c4)c3-n3c4ccccc4c4ccccc43)o2)c1
6,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)nc3)c2-n2c3ccccc3c3ccccc32)ccn1
7,Fc1cc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)nc2)ccn1
8,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4cc(Cl)ccc4Cl)c3)ccc2-c2ccc(-c3cccc(-c4cc(Cl)ccc4Cl)c3)cc21
9,CS(=O)(=O)c1cncc(-c2ccc(-c3ccc(-c4ccc(-c5cncc(S(C)(=O)=O)c5)cc4)o3)cc2)c1
10,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cc(C(F)(F)F)c3)cc2-n2c3ccccc3c3ccccc32)cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
11,c1ccc2c(-n3c4ccccc4c4ccccc43)ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)c7ccccc67)cc5)o4)cc3)c2c1
12,Clc1ccc(Cl)c(-c2ccc(-c3cc(-c4ccc(-c5cc(Cl)ccc5Cl)s4)c4ccccc4c3)s2)c1
13,Clc1cc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)s2)sc1-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)s1
14,Cn1ncc(-c2nccs2)c1-c1cccc2cccc(-c3c(-c4nccs4)cnn3C)c12
15,Fc1cc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5ccnc(F)c5)cc4)c4nsnc34)cc2)ccn1
16,Cc1nc2c(-c3cccc(-c4ccc(F)c5ccccc45)c3F)c3nsnc3c(-c3cccc(-c4ccc(F)c5ccccc45)c3F)c2nc1C
17,Fc1c(-c2ccc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)o2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
18,c1coc(-c2ccsc2-c2ccc(-c3sccc3-c3ccco3)o2)c1
19,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-c2ccc3nc4ccc(-c5c(-c6ccnc(-n7c8ccccc8c8ccccc87)c6)cccc5-n5c6ccccc6c6ccccc65)cc4nc3c2)c(-n2c3ccccc3c3ccccc32)c1
20,CC(C)(C)c1ccc2c(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1
21,Fc1cc(-c2ccc3oc(-c4cc(Cl)c(-c5cc6cc(-c7ccnc(F)c7)ccc6o5)s4)cc3c2)ccn1
22,c1cnc2ccc(-c3ccc4oc(-c5cc(-n6c7ccccc7c7ccccc76)c(-c6cc7cc(-c8ccc9ncccc9c8)ccc7o6)cc5-n5c6ccccc6c6ccccc65)cc4c3)cc2c1
23,Fc1ccc(-c2cc(-c3cnc4nc(-c5cc(-c6ccc(F)c7ccccc67)cc(C(F)(F)F)c5)ccc4c3)cc(C(F)(F)F)c2)c2ccccc12
24,C[Si](C)(c1ccc(-c2ccc(-c3cncc(S(C)(=O)=O)c3)cc2)cc1)c1ccc(-c2ccc(-c3cncc(S(C)(=O)=O)c3)cc2)cc1
25,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)cc21
26,Fc1c(F)c(-c2cccc(-c3ccc4[nH]ccc4c3)c2)c2nsnc2c1-c1cccc(-c2ccc3[nH]ccc3c2)c1
27,C[Si](C)(c1ccccc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1)c1ccccc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1
28,c1coc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccco6)c5-n5c6ccccc6c6ccccc65)c34)c2-n2c3ccccc3c3ccccc32)c1
29,c1coc(-c2ccsc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3sccc3-c3ccco3)cc2-n2c3ccccc3c3ccccc32)c1
30,Cc1nc2c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cc3)c3nsnc3c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cc3)c2nc1C
31,Cc1nc2c(-c3cc(-c4cc(F)cc(F)c4)cc(C(F)(F)F)c3)c3nsnc3c(-c3cc(-c4cc(F)cc(F)c4)cc(C(F)(F)F)c3)c2nc1C
32,c1cnc(-c2ccc3[nH]ccc3c2)c(-c2cccc3cccc(-c4cccnc4-c4ccc5[nH]ccc5c4)c23)c1
33,Clc1cc(Cl)c(-c2cc3cc(-c4ccco4)ccc3o2)cc1-c1cc2cc(-c3ccco3)ccc2o1
34,Cn1ncc(-c2ccc(F)c3ccccc23)c1-c1ccc2nc3ccc(-c4c(-c5ccc(F)c6ccccc56)cnn4C)cc3nc2c1
35,Cn1ncc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c1-c1cnc2nc(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cnn3C)ccc2c1
36,CC(C)(C)c1ccc2c(-c3cccnc3-c3ccnc(F)c3)c3ccccc3c(-c3cccnc3-c3ccnc(F)c3)c2c1
37,Cc1nc2c(-c3sccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)c3nsnc3c(-c3sccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)c2nc1C
38,Fc1c(-c2cc(Cl)c(-c3cccc(-c4cc(Cl)ccc4Cl)c3F)s2)cccc1-c1cc(Cl)ccc1Cl
39,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)cc21
40,C[Si](C)(c1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)cc1)c1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)cc1
41,CSc1cncc(-c2ccc(-c3ccc(-c4ccc(-c5cncc(SC)c5)cc4)o3)cc2)c1
42,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1)c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1
43,Fc1c(F)c(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2)c2nsnc2c1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1
44,Fc1cccc(-c2ccc3[nH]ccc3c2)c1-c1ccccc1Oc1ccccc1-c1c(F)cccc1-c1ccc2[nH]ccc2c1
