,Input(Procedure Step),Error Message
0,"Syringe R1 containing starting materials was added to Module 1, which was equipped with a 3D printed polypropylene high surface condenser: 10 min.",Error: No Output
1,The solvent was removed and obtained white pure product (Yield 88%): 5 min,Error: No Output
2,The solvent was removed and obtained white pure product (Yield 88%): 5 min,Error: No Output
3,The reactionware monolith was lowered into a preheated silicone oil bath (50 °C): 5 min,Error: No Output
4,Reaction mixture was left to stir for 24 hours at 400 RPM,Error: No Output
5,The reactionware monolith was taken out of the oil bath and let to cool to RT: 5 min,Error: No Output
6,"Then, benzhydrylthioacetyl chloride dissolved in about 100 ml of methylene chloride is added drop by drop: 30 min",Error: No Output
7,The mixture was cooled by adding ice followed by vacuum filtration to obtain the crude solid which upon recrystallization in aqueous methanol yield white solid (Yield 91%).: 30 min,Error: No Output
8,The mixture was cooled by adding ice followed by vacuum filtration to obtain pale yellow gummy liquid (Yield 96%).: 10 min,Error: No Output
9,"Once at RT, the condenser was unmounted, and a vacuum was applied to Module 1 under stirring to remove DCM (400 mbar for 3 hours, afterwards 200 mbar for 30 minutes): 10 min",Error: No Output
10,A Solution of 2-benzhydrylsulfanylacetonitrile in 5 ml of EtOH was added 5% KOH (2 mL) and the mixture was stirred for 20 min at room temperature: 10 min,Error: list index out of range
11,A hot Solution of chloroacetamide (22.0 g) in water (66 ml) is added in about 1 hour: 1 h ,Error: list index out of range
12,"Once the addition is complete, the organic phase is washed with a dilute solution of soda and dried over Na2SO4: 10 min",Error: list index of range
13,"Suction filtration gave the 6.9 g of the acid (3, 46%): 10 min",Error: No Output
14, An oil separates from the mixture and at the end of the addition compound (II) solidifies: 10 min ,Error: No Output
15,N2(g.) line was turned on to transfer reaction liquid from Module 1 to Module 2: 5 min,Error: No Output
16,1.430 liters of hydrogen peroxide at 130 volumes are passed in over 3 hours at about 30° C  over benzhydryl thioacetic acid: 15 min,Error: No Output
17,"20 gr. of the product was recrystallized twice from ethyl acetate, dried in vacuo to give 15 gr. of pure title compound: 30 min ",Error: Recrystallize is not a valid step type
18,"Addition of diphenylmethylthioacetic acid (19.5 g, 0.076 moles) in 114 ml of dry benzene, under N2 gas: 15 min (considering weighing)",Error: No Output
